heuristica     ;n   ;m  ;replicacao ;tempo ;iteracoes ;valor ;parametro

Melhor Melhora; 31; 10; 0; 2; 23; 184; NA
Melhor Melhora; 400; 20; 1; 27; 317; 1060; NA
Melhor Melhora; 400; 20; 2; 27; 304; 966; NA
Melhor Melhora; 2500; 50; 3; 404; 2159; 2597; NA
Melhor Melhora; 2500; 50; 4; 186; 2147; 2434; NA
Melhor Melhora; 89; 20; 5; 0; 70; 221; NA
Melhor Melhora; 100; 10; 6; 0; 73; 578; NA
Melhor Melhora; 2500; 50; 7; 186; 2168; 2514; NA
Melhor Melhora; 2500; 50; 8; 187; 2154; 2464; NA
Melhor Melhora; 2500; 50; 9; 184; 2152; 2502; NA
