heuristica ;n    ;m  ;replicacao ;tempo ;iteracoes ;valor ;parametro
Iterada    ;  31 ;10 ;         0 ;   37 ;     3065 ;  169 ;      0.1
Iterada    ;  31 ;10 ;         1 ;   31 ;     3091 ;  165 ;      0.1
Iterada    ;  31 ;10 ;         2 ;   37 ;     3528 ;  171 ;      0.1
Iterada    ;  31 ;10 ;         3 ;   64 ;     6188 ;  165 ;      0.1
Iterada    ;  31 ;10 ;         4 ;   51 ;     4395 ;  181 ;      0.1
Iterada    ;  31 ;10 ;         5 ;   55 ;     4040 ;  189 ;      0.1
Iterada    ;  31 ;10 ;         6 ;   29 ;     3458 ;  183 ;      0.1
Iterada    ;  31 ;10 ;         7 ;   30 ;     8076 ;  208 ;      0.1
Iterada    ;  31 ;10 ;         8 ;   11 ;     3100 ;  158 ;      0.1
Iterada    ;  31 ;10 ;         9 ;   44 ;    11881 ;  170 ;      0.1
Iterada    ; 100 ;10 ;         0 ;   32 ;     4688 ;  461 ;      0.1
Iterada    ; 100 ;10 ;         1 ;   33 ;     5005 ;  513 ;      0.1
Iterada    ; 100 ;10 ;         2 ;   29 ;     4442 ;  499 ;      0.1
Iterada    ; 100 ;10 ;         3 ;   47 ;     7123 ;  501 ;      0.1
Iterada    ; 100 ;10 ;         4 ;   31 ;     4565 ;  477 ;      0.1
Iterada    ; 100 ;10 ;         5 ;   28 ;     4389 ;  483 ;      0.1
Iterada    ; 100 ;10 ;         6 ;   28 ;     4328 ;  475 ;      0.1
Iterada    ; 100 ;10 ;         7 ;   25 ;     4604 ;  537 ;      0.1
Iterada    ; 100 ;10 ;         8 ;   28 ;     5082 ;  497 ;      0.1
Iterada    ; 100 ;10 ;         9 ;   25 ;     4623 ;  555 ;      0.1
Iterada    ;  89 ;20 ;         0 ;   34 ;     5341 ;  224 ;      0.1
Iterada    ;  89 ;20 ;         1 ;   34 ;     5537 ;  241 ;      0.1
Iterada    ;  89 ;20 ;         2 ;   32 ;     5274 ;  211 ;      0.1
Iterada    ;  89 ;20 ;         3 ;   33 ;     5545 ;  254 ;      0.1
Iterada    ;  89 ;20 ;         4 ;   33 ;     5371 ;  235 ;      0.1
Iterada    ;  89 ;20 ;         5 ;   33 ;     5302 ;  219 ;      0.1
Iterada    ;  89 ;20 ;         6 ;   36 ;     5761 ;  258 ;      0.1
Iterada    ;  89 ;20 ;         7 ;   33 ;     5322 ;  228 ;      0.1
Iterada    ;  89 ;20 ;         8 ;   32 ;     5094 ;  198 ;      0.1
Iterada    ;  89 ;20 ;         9 ;   32 ;     5325 ;  229 ;      0.1
Iterada    ; 400 ;20 ;         0 ;  161 ;    10875 ; 1050 ;      0.1
Iterada    ; 400 ;20 ;         1 ;  164 ;    11041 ; 1006 ;      0.1
Iterada    ; 400 ;20 ;         2 ;  164 ;    10908 ; 1023 ;      0.1
Iterada    ; 400 ;20 ;         3 ;  167 ;    11207 ; 1047 ;      0.1
Iterada    ; 400 ;20 ;         4 ;  163 ;    10946 ; 1023 ;      0.1
Iterada    ; 400 ;20 ;         5 ;  165 ;    10933 ; 1019 ;      0.1
Iterada    ; 400 ;20 ;         6 ;  167 ;    11140 ; 1060 ;      0.1
Iterada    ; 400 ;20 ;         7 ;  175 ;    11032 ; 1049 ;      0.1
Iterada    ; 400 ;20 ;         8 ;  172 ;    10731 ;  977 ;      0.1
Iterada    ; 400 ;20 ;         9 ;  163 ;    10922 ; 1003 ;      0.1
Iterada    ; 353 ;50 ;         0 ;  263 ;    15548 ;  376 ;      0.1
